"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Yang Z.; Huilian L.","Yang, Zhang (57204763375); Huilian, Lun (57198501140)","57204763375; 57198501140","On the applicability of Altmetrics in the evaluation of scientific journals","2017","ISSI 2017 - 16th International Conference on Scientometrics and Informetrics, Conference Proceedings","","","","1216","1227","11","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036663603&partnerID=40&md5=56511a11bacfb27a787d23f0f608eace","Conference paper","Final","","Scopus","2-s2.0-85036663603"
"Haustein S.; Peters I.; Bar-Ilan J.; Priem J.; Shema H.; Terliesner J.","Haustein, Stefanie (36699779100); Peters, Isabella (23985912300); Bar-Ilan, Judit (57202052068); Priem, Jason (36455008000); Shema, Hadas (55216578900); Terliesner, Jens (35769680400)","36699779100; 23985912300; 57202052068; 36455008000; 55216578900; 35769680400","Coverage and adoption of altmetrics sources in the bibliometric community","2013","Proceedings of ISSI 2013 - 14th International Society of Scientometrics and Informetrics Conference","1","","","468","483","15","18","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896814183&partnerID=40&md5=e31cf8f9952719a626fd10fd6fdf5064","Conference paper","Final","","Scopus","2-s2.0-84896814183"
"Paradeise C.; Filliatreau G.","Paradeise, Catherine (6508389064); Filliatreau, Ghislaine (35796953400)","6508389064; 35796953400","The emergent action field of metrics: From rankings to altmetrics","2016","Research in the Sociology of Organizations","46","","","87","128","41","13","10.1108/S0733-558X20160000046004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958654705&doi=10.1108%2fS0733-558X20160000046004&partnerID=40&md5=b142c6fd21a762ad5e00bd35dd83e7e0","Article","Final","","Scopus","2-s2.0-84958654705"
"Brigham T.J.","Brigham, Tara J. (55671852300)","55671852300","An Introduction to Altmetrics","2014","Medical Reference Services Quarterly","33","4","","438","447","9","74","10.1080/02763869.2014.957093","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919654756&doi=10.1080%2f02763869.2014.957093&partnerID=40&md5=50e00d64a926b3d8bae99ab9b5475747","Article","Final","","Scopus","2-s2.0-84919654756"
"Dinsmore A.; Allen L.; Dolby K.","Dinsmore, Adam (56365668800); Allen, Liz (55346997300); Dolby, Kevin (26967554200)","56365668800; 55346997300; 26967554200","Alternative Perspectives on Impact: The Potential of ALMs and Altmetrics to Inform Funders about Research Impact","2014","PLoS Biology","12","11","","","","4","93","10.1371/journal.pbio.1002003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912569287&doi=10.1371%2fjournal.pbio.1002003&partnerID=40&md5=58105d386c6b306d05fc097a11918e71","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84912569287"
"Bornmann L.","Bornmann, Lutz (8850037200)","8850037200","What do altmetrics counts mean? A plea for content analyses","2016","Journal of the Association for Information Science and Technology","67","4","","1016","1017","1","15","10.1002/asi.23633","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961842098&doi=10.1002%2fasi.23633&partnerID=40&md5=6c450d40b403e52998bbc1bcb7539403","Letter","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84961842098"
"Thelwall M.; Haustein S.; Larivière V.; Sugimoto C.R.","Thelwall, Mike (57527841900); Haustein, Stefanie (36699779100); Larivière, Vincent (14028805600); Sugimoto, Cassidy R. (24465855600)","57527841900; 36699779100; 14028805600; 24465855600","Do Altmetrics Work? Twitter and Ten Other Social Web Services","2013","PLoS ONE","8","5","e64841","","","","749","10.1371/journal.pone.0064841","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878407126&doi=10.1371%2fjournal.pone.0064841&partnerID=40&md5=9fa72e168053d52fa30963d972f6b811","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84878407126"
"Ebrahimy S.; Setareh F.; HosseinChari M.","Ebrahimy, Saeideh (59158038800); Setareh, Fatemeh (57189660201); HosseinChari, Masoud (55241671500)","59158038800; 57189660201; 55241671500","Assessing the relationship between the alternative metrics of visibility and social bookmarking with citation index in PLOS altmetrics","2016","Iranian Journal of Information Processing Management","31","3","","845","864andxvii","19","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973885526&partnerID=40&md5=c77e410fae9c2a98d235f2bc598121f0","Article","Final","","Scopus","2-s2.0-84973885526"
"Das T.","Das, Tara (56555906100)","56555906100","Measuring scholarly use of government information: An altmetrics analysis of federal statistics","2015","Government Information Quarterly","32","3","","246","252","6","4","10.1016/j.giq.2015.05.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983169952&doi=10.1016%2fj.giq.2015.05.002&partnerID=40&md5=0367d9bbccbe0700ed4e3c9a121ae2d2","Article","Final","","Scopus","2-s2.0-84983169952"
"Borchardt R.","Borchardt, Rachel (57201425096)","57201425096","Erratum: From bibliometrics to altmetrics (College and Research Libraries News (2012))","2012","College and Research Libraries News","73","11","","645","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870901961&partnerID=40&md5=39d4c0b80940c52ab6eec5c26ea49a3b","Erratum","Final","","Scopus","2-s2.0-84870901961"
"Hammarfelt B.","Hammarfelt, Björn (36607894200)","36607894200","Using altmetrics for assessing research impact in the humanities","2014","Scientometrics","101","2","","1419","1430","11","171","10.1007/s11192-014-1261-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896060704&doi=10.1007%2fs11192-014-1261-3&partnerID=40&md5=6a204204a3f0b00c1c0e523882f62f39","Article","Final","","Scopus","2-s2.0-84896060704"
"Peters I.; Kraker P.; Lex E.; Gumpenberger C.; Gorraiz J.","Peters, Isabella (23985912300); Kraker, Peter (25655048000); Lex, Elisabeth (25928014700); Gumpenberger, Christian (36473425800); Gorraiz, Juan (36980578600)","23985912300; 25655048000; 25928014700; 36473425800; 36980578600","Research data explored: an extended analysis of citations and altmetrics","2016","Scientometrics","107","2","","723","744","21","113","10.1007/s11192-016-1887-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958237265&doi=10.1007%2fs11192-016-1887-4&partnerID=40&md5=3a59777b46b9100d794cdb68374f1a0c","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84958237265"
"Viney I.","Viney, Ian (7004028793)","7004028793","Altmetrics: Research council responds","2013","Nature","494","7436","","176","","","11","10.1038/494176c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873696186&doi=10.1038%2f494176c&partnerID=40&md5=f8f65799c6df590789a07114d95172c6","Letter","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84873696186"
"Torres-Salinas D.; Cabezas-Clavijo A.; Jiménez-Contreras E.","Torres-Salinas, Daniel (55665562600); Cabezas-Clavijo, álvaro (23670221200); Jiménez-Contreras, Evaristo (6601989785)","55665562600; 23670221200; 6601989785","Altmetrics: New indicators for scientific communication in web 2.0","2013","Comunicar","21","41","","53","60","7","119","10.3916/C41-2013-05","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884307229&doi=10.3916%2fC41-2013-05&partnerID=40&md5=34fbead2cda218ddcecac0a5cfa5275c","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84884307229"
"Citrome L.","Citrome, L. (7006352802)","7006352802","Moving forward with article level metrics: Introducing altmetrics","2015","International Journal of Clinical Practice","69","8","","811","","","22","10.1111/ijcp.12706","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938095535&doi=10.1111%2fijcp.12706&partnerID=40&md5=f3e83301c3c22c873ed0ad7dfb6c7897","Editorial","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84938095535"
"Yeong C.H.; Abdullah B.J.J.","Yeong, C.H. (35777244000); Abdullah, B.J.J. (7003372698)","35777244000; 7003372698","Altmetrics: The right step forward","2012","Biomedical Imaging and Intervention Journal","8","2","","1","2","1","11","10.2349/biij.8.3.e15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864953682&doi=10.2349%2fbiij.8.3.e15&partnerID=40&md5=6608312368027184ec94b2793c76d630","Note","Final","","Scopus","2-s2.0-84864953682"
"Costas R.; Zahedi Z.; Wouters P.","Costas, Rodrigo (9844625800); Zahedi, Zohreh (56979210700); Wouters, Paul (7007025330)","9844625800; 56979210700; 7007025330","Do ""altmetrics"" correlate with citations? Extensive comparison of altmetric indicators with citations from a multidisciplinary perspective","2015","Journal of the Association for Information Science and Technology","66","10","","2003","2019","16","554","10.1002/asi.23309","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924998893&doi=10.1002%2fasi.23309&partnerID=40&md5=9bdc3d839f4febe03e1c815ecae1ee56","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84924998893"
"Mohammadi E.; Thelwall M.; Haustein S.; Larivière V.","Mohammadi, Ehsan (54965851600); Thelwall, Mike (57527841900); Haustein, Stefanie (36699779100); Larivière, Vincent (14028805600)","54965851600; 57527841900; 36699779100; 14028805600","Who reads research articles? An altmetrics analysis of Mendeley user categories","2015","Journal of the Association for Information Science and Technology","66","9","","1832","1846","14","170","10.1002/asi.23286","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923280319&doi=10.1002%2fasi.23286&partnerID=40&md5=b0ba05de38257181b3e35508ccd74bc2","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84923280319"
"Dhiman A.K.","Dhiman, Anil Kumar (56747621300)","56747621300","Bibiiometrics to altmetrics: Changing trends in assessing research impact","2015","DESIDOC Journal of Library and Information Technology","35","4","","310","315","5","8","10.14429/djlit.35.4.8505","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938355294&doi=10.14429%2fdjlit.35.4.8505&partnerID=40&md5=776ec4b51a56cefe286b6b7eaa6c096b","Article","Final","","Scopus","2-s2.0-84938355294"
"Junping Q.; Houqiang Y.","Junping, Qiu (7403309836); Houqiang, Yu (55261022300)","7403309836; 55261022300","Stratifying altmetrics indicators based on impact generation model","2015","Proceedings of ISSI 2015 Istanbul: 15th International Society of Scientometrics and Informetrics Conference","","","","115","116","1","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991107836&partnerID=40&md5=7acd9b5e562e253b2c9cbb0208883cf5","Conference paper","Final","","Scopus","2-s2.0-84991107836"
"Carpenter T.A.; Lagace N.; Bahnmaier S.","Carpenter, Todd A. (36166500600); Lagace, Nettie (6507349609); Bahnmaier, Sara (55641225500)","36166500600; 6507349609; 55641225500","Developing standards for emerging forms of assessment: The NISO altmetrics initiative","2016","Serials Librarian","70","1-4","","260","265","5","6","10.1080/0361526X.2016.1157737","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976622244&doi=10.1080%2f0361526X.2016.1157737&partnerID=40&md5=3767a5557558a5772d7fa5474b3be6d4","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84976622244"
"Holmberg K.","Holmberg, Kim (25632561700)","25632561700","Altmetrics for Information Professionals: Past, Present and Future","2015","Altmetrics for Information Professionals: Past, Present and Future","","","","1","159","158","54","10.1016/C2014-0-03379-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966746666&doi=10.1016%2fC2014-0-03379-5&partnerID=40&md5=d46a34c59d5edf45f3f1e0348546d97d","Book","Final","","Scopus","2-s2.0-84966746666"
"Crotty D.","Crotty, David (55367754400)","55367754400","Altmetrics: Finding meaningful needles in the data haystack","2014","Serials Review","40","3","","141","146","5","17","10.1080/00987913.2014.947839","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925856948&doi=10.1080%2f00987913.2014.947839&partnerID=40&md5=ce6e5b3281950254d1c1f8442926e209","Article","Final","","Scopus","2-s2.0-84925856948"
"Bar-Ilani J.; Sugimotoii C.; Gunniii W.; Hausteiniv S.; Konkielv S.; Larivieand́revi V.; Linvii J.","Bar-Ilani, Judit (56257645200); Sugimotoii, Cassidy (56258361300); Gunniii, Willian (36860726200); Hausteiniv, Stefanie (36699779100); Konkielv, Stacy (55825367700); Larivieand́revi, Vincent (56258257600); Linvii, Jennifer (56259132100)","56257645200; 56258361300; 36860726200; 36699779100; 55825367700; 56258257600; 56259132100","Altmetrics: Present and future-panel","2013","Proceedings of the ASIST Annual Meeting","50","1","","","","","4","10.1002/meet.14505001013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903971404&doi=10.1002%2fmeet.14505001013&partnerID=40&md5=663c676a2b39b55c1c560a6ec1166fb6","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84903971404"
"Wilson V.","Wilson, Virginia (24503961200)","24503961200","Research methods: Altmetrics","2013","Evidence Based Library and Information Practice","8","1","","126","128","2","5","10.18438/B8Q31P","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878964383&doi=10.18438%2fB8Q31P&partnerID=40&md5=ff7ad32366a93c2df2c31bcab0b6e4b6","Note","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84878964383"
"Franzen M.","Franzen, Martina (23667078900)","23667078900","The impact factor had it's day. Altmetrics and the future of science; [Der Impact Faktor war gestern: Altmetrics und die Zukunft der Wissenschaft]","2015","Soziale Welt","66","2","","225","242","17","15","10.5771/0038-6073-2015-2-225","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956632419&doi=10.5771%2f0038-6073-2015-2-225&partnerID=40&md5=30346aed2cfed49abac7f9322662d3bc","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84956632419"
"Thelwall M.","Thelwall, Mike (57527841900)","57527841900","Data science altmetrics","2016","Journal of Data and Information Science","1","2","","7","12","5","6","10.20309/jdis.201610","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022220704&doi=10.20309%2fjdis.201610&partnerID=40&md5=7ca3eb347acfb6b9b39b9b4c555f34e0","Review","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85022220704"
"Mohammadi E.; Thelwall M.","Mohammadi, Ehsan (54965851600); Thelwall, Mike (57527841900)","54965851600; 57527841900","Mendeley readership altmetrics for the social sciences and humanities: Research evaluation and knowledge flows","2014","Journal of the Association for Information Science and Technology","65","8","","1627","1638","11","232","10.1002/asi.23071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903957688&doi=10.1002%2fasi.23071&partnerID=40&md5=9fe4e99d5a7b6ef8a397bd534d364313","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84903957688"
"Lapinski S.; Piwowar H.; Priem J.","Lapinski, Scott (56002313100); Piwowar, Heather (25122628200); Priem, Jason (36455008000)","56002313100; 25122628200; 36455008000","Riding the crest of the altmetrics wave: How librarians can help prepare faculty for the next generation of research impact metrics","2013","College and Research Libraries News","74","6","","292","294+3300","","25","10.5860/crln.74.6.8960","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879349278&doi=10.5860%2fcrln.74.6.8960&partnerID=40&md5=1e99d09aca080110acda26625cc22e7c","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-84879349278"
"Briški M.","Briški, Marijana (56461391800)","56461391800","Altmetrics - New indicator of scholarly impact on the social web; [Altmetrija - Novi pokazatelj utjecaja znanstvene djelatnosti]","2014","Vjesnik Bibliotekara Hrvatske","57","4","","189","198","9","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956475415&partnerID=40&md5=afcc62f01388e7a73c1e370b8efeb415","Article","Final","","Scopus","2-s2.0-84956475415"
"Peters I.; Kraker P.; Lex E.; Gumpenberger C.; Gorraiz J.","Peters, Isabella (23985912300); Kraker, Peter (25655048000); Lex, Elisabeth (25928014700); Gumpenberger, Christian (36473425800); Gorraiz, Juan (36980578600)","23985912300; 25655048000; 25928014700; 36473425800; 36980578600","Research data explored: Citations versus altmetrics","2015","Proceedings of ISSI 2015 Istanbul: 15th International Society of Scientometrics and Informetrics Conference","","","","172","183","11","15","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991094192&partnerID=40&md5=5e2f0005e765d31acd4e166f1cfcc4b1","Conference paper","Final","","Scopus","2-s2.0-84991094192"
"Turbanti S.","Turbanti, Simona (56455323200)","56455323200","The visibility - and impact? - on the Web and within social networks: An overview of the main altmetrics tools; [La visibilità - e l'impatto? - nel Web ai tempi dei social: I principali strumenti di altmetrics]","2016","AIB Studi","56","1","","41","58","17","8","10.2426/aibstudi-11410","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962828751&doi=10.2426%2faibstudi-11410&partnerID=40&md5=6df522792019aeed378079a0d5cefd18","Review","Final","","Scopus","2-s2.0-84962828751"
"Araújo R.F.; Murakami T.R.M.; De Lara J.L.; Fausto S.","Araújo, Ronaldo F. (56975940000); Murakami, Tiago R.M. (57191503294); De Lara, Jan L. (57191500762); Fausto, Sibele (55531278200)","56975940000; 57191503294; 57191500762; 55531278200","Does the global South have altmetrics? Analyzing a Brazilian LIS journal","2015","Proceedings of ISSI 2015 Istanbul: 15th International Society of Scientometrics and Informetrics Conference","","","","111","112","1","9","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945226204&partnerID=40&md5=f330c1835760cda0d3de37afb2b7d4b2","Conference paper","Final","","Scopus","2-s2.0-84945226204"
"Priem J.; Groth P.; Taraborelli D.","Priem, Jason (36455008000); Groth, Paul (8983775600); Taraborelli, Dario (35604791000)","36455008000; 8983775600; 35604791000","The Altmetrics Collection","2012","PLoS ONE","7","11","e48753","","","","212","10.1371/journal.pone.0048753","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868326485&doi=10.1371%2fjournal.pone.0048753&partnerID=40&md5=433c5c6d838ae6e58435744305c363b1","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84868326485"
"Holmberg K.","Holmberg, Kim (25632561700)","25632561700","Classifying altmetrics by level of impact","2015","Proceedings of ISSI 2015 Istanbul: 15th International Society of Scientometrics and Informetrics Conference","","","","101","102","1","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991059386&partnerID=40&md5=960615267d4f9393f72526f28d1191a0","Conference paper","Final","","Scopus","2-s2.0-84991059386"
"Shepherd P.","Shepherd, Peter (7101657457)","7101657457","Altmetrics, PIRUS and usage factor","2013","Insights: the UKSG Journal","26","3","","305","310","5","3","10.1629/2048-7754.108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967176824&doi=10.1629%2f2048-7754.108&partnerID=40&md5=5fc48236937fcc0eecc8bd9a0f93bd36","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84967176824"
"Thelwall M.","Thelwall, Michael (57527841900)","57527841900","Webometrics and altmetrics: Home birth vs. hospital birth","2016","Theories of Informetrics and Scholarly Communication","","","","337","346","9","2","10.1515/9783110308464-019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042819721&doi=10.1515%2f9783110308464-019&partnerID=40&md5=24cf3d2894314378334735db7838f2a2","Book chapter","Final","","Scopus","2-s2.0-85042819721"
"Wilson V.","Wilson, Virginia (24503961200)","24503961200","Research methods: Altmetrics","2016","Evidence Based Library and Information Practice","11","Specialissue1","","53","55","2","1","10.18438/B8VH0P","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963853556&doi=10.18438%2fB8VH0P&partnerID=40&md5=ffa3457caf6f732f7728bae639392d0d","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84963853556"
"Haustein S.; Peters I.; Bar-Ilan J.; Priem J.; Shema H.; Terliesner J.","Haustein, Stefanie (36699779100); Peters, Isabella (23985912300); Bar-Ilan, Judit (57202052068); Priem, Jason (36455008000); Shema, Hadas (55216578900); Terliesner, Jens (35769680400)","36699779100; 23985912300; 57202052068; 36455008000; 55216578900; 35769680400","Coverage and adoption of altmetrics sources in the bibliometric community","2014","Scientometrics","101","2","","1145","1163","18","219","10.1007/s11192-013-1221-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891454734&doi=10.1007%2fs11192-013-1221-3&partnerID=40&md5=5eae44cfe4d2a3956c7e866ffe455ba9","Article","Final","","Scopus","2-s2.0-84891454734"
"Cress P.E.","Cress, Phaedra E. (56230114500)","56230114500","Using altmetrics and social media to supplement impact factor: maximizing your article's academic and societal impact","2014","Aesthetic surgery journal / the American Society for Aesthetic Plastic surgery","34","7","","1123","1126","3","37","10.1177/1090820X14542973","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919362898&doi=10.1177%2f1090820X14542973&partnerID=40&md5=13f89a8016e4d84a5a64b6578e0efa28","Editorial","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84919362898"
"Galligan F.; Dyas-Correia S.","Galligan, Finbar (55625365800); Dyas-Correia, Sharon (23024854400)","55625365800; 23024854400","Altmetrics: Rethinking the Way We Measure","2013","Serials Review","39","1","","56","61","5","133","10.1016/j.serrev.2013.01.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875119070&doi=10.1016%2fj.serrev.2013.01.003&partnerID=40&md5=ec5b4d385ecdbff0ceb01ede81934f19","Article","Final","","Scopus","2-s2.0-84875119070"
"Bornmann L.","Bornmann, Lutz (8850037200)","8850037200","Alternative metrics in scientometrics: A meta-analysis of research into three altmetrics","2015","Scientometrics","103","3","A017","1123","1144","21","172","10.1007/s11192-015-1565-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027929276&doi=10.1007%2fs11192-015-1565-y&partnerID=40&md5=005db5b5423712c202ae963326d9d6ac","Article","Final","","Scopus","2-s2.0-85027929276"
"Bornmann L.","Bornmann, Lutz (8850037200)","8850037200","Validity of altmetrics data for measuring societal impact: A study using data from Altmetric and F1000Prime","2014","Journal of Informetrics","8","4","","935","950","15","129","10.1016/j.joi.2014.09.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908669081&doi=10.1016%2fj.joi.2014.09.007&partnerID=40&md5=bbeff0981551c5ea5c487d6fe91e2648","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84908669081"
"Moed H.F.","Moed, Henk F. (7003555412)","7003555412","Altmetrics as traces of the computerization of the research process","2016","Theories of Informetrics and Scholarly Communication","","","","360","371","11","17","10.1515/9783110308464-021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075953963&doi=10.1515%2f9783110308464-021&partnerID=40&md5=a65dd65b37c546d31224f557311e3a7d","Book chapter","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85075953963"
"Kwok R.","Kwok, Roberta (57224660806)","57224660806","Research impact: Altmetrics make their mark.","2013","Nature","500","7463","","491","493","2","100","10.1038/nj7463-491a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886518405&doi=10.1038%2fnj7463-491a&partnerID=40&md5=943575a3d4f413cc60239757882d560d","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-84886518405"
"Enis M.","Enis, Matt (55341643200)","55341643200","EBSCO acquires altmetrics provider plum analytics","2014","Library Journal","139","1","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894246332&partnerID=40&md5=26297ae2a7eeeb1868dde7e19bee16be","Article","Final","","Scopus","2-s2.0-84894246332"
"Cejas C.","Cejas, C. (6507688710)","6507688710","Altmetrics; [Altmetrics]","2016","Revista Argentina de Radiologia","80","1","","1","","","1","10.1016/j.rard.2016.01.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959213313&doi=10.1016%2fj.rard.2016.01.003&partnerID=40&md5=02aecb2d9fd7b55b36eb6b4ed2d09d57","Editorial","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84959213313"
"Peters I.; Bar-Ilan J.","Peters, Isabella (23985912300); Bar-Ilan, Judit (57202052068)","23985912300; 57202052068","Informetrics, bibliometrics, altmetrics: What is it all about?","2014","Proceedings of the ASIST Annual Meeting","51","1","","","","","5","10.1002/meet.2014.14505101015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961869754&doi=10.1002%2fmeet.2014.14505101015&partnerID=40&md5=c0ebd332db904d0c7ba707f8722db71d","Conference paper","Final","","Scopus","2-s2.0-84961869754"
"Zahedi Z.; Costas R.; Wouters P.","Zahedi, Zohreh (56979210700); Costas, Rodrigo (9844625800); Wouters, Paul (7007025330)","56979210700; 9844625800; 7007025330","How well developed are altmetrics? cross-disciplinary analysis of the presence of 'alternative metrics' in scientific publications (RIP)","2013","Proceedings of ISSI 2013 - 14th International Society of Scientometrics and Informetrics Conference","1","","","876","884","8","21","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896876723&partnerID=40&md5=aac161bbf405e46b71c427e566d520e7","Conference paper","Final","","Scopus","2-s2.0-84896876723"
"Khodiyar V.K.; Rowlett K.A.; Lawrence R.N.","Khodiyar, Varsha K. (6508269364); Rowlett, Karen A. (6507377914); Lawrence, Rebecca N. (57219757010)","6508269364; 6507377914; 57219757010","Altmetrics as a means of assessing scholarly output","2014","Learned Publishing","27","","","S25","S32","7","16","10.1087/20140505","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919420783&doi=10.1087%2f20140505&partnerID=40&md5=ed544575f4907776402750839cdce984","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84919420783"
"González-Fernández-Villavicencio N.; Domínguez-Aroca M.I.; Calderón-Rehecho A.; García-Hernández P.","González-Fernández-Villavicencio, Nieves (36080560100); Domínguez-Aroca, María-Isabel (55377101700); Calderón-Rehecho, Antonio (55673522200); García-Hernández, Pablo (56912232700)","36080560100; 55377101700; 55673522200; 56912232700","What role do librarians play in altmetrics?; [¿Qué papel juegan los bibliotecarios en las altmetrics?]","2015","Anales de Documentacion","18","2","","","","","9","10.6018/analesdoc.18.2.222641","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944707614&doi=10.6018%2fanalesdoc.18.2.222641&partnerID=40&md5=979279bf34735b9f70526f1b86caa712","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84944707614"
"Bornmann L.","Bornmann, Lutz (8850037200)","8850037200","Usefulness of altmetrics for measuring the broader impact of research: A case study using data from PLOS and F1000Prime","2015","Aslib Journal of Information Management","67","3","","305","319","14","58","10.1108/AJIM-09-2014-0115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929663411&doi=10.1108%2fAJIM-09-2014-0115&partnerID=40&md5=781dc6fccc124039c83b8f07a36b6861","Article","Final","","Scopus","2-s2.0-84929663411"
"Galloway L.M.; Pease J.L.; Rauh A.E.","Galloway, Linda M. (7005467728); Pease, Janet L. (55943908900); Rauh, Anne E. (36465770900)","7005467728; 55943908900; 36465770900","Introduction to altmetrics for science, technology, engineering, and mathematics (STEM) librarians","2013","Science and Technology Libraries","32","4","","335","345","10","37","10.1080/0194262X.2013.829762","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888636831&doi=10.1080%2f0194262X.2013.829762&partnerID=40&md5=186abdc9dc8033a99fbd1ec3a5660dac","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84888636831"
"McFedries P.","McFedries, Paul (7801592954)","7801592954","Measuring the impact of altmetrics","2012","IEEE Spectrum","49","8","6247557","28","","","8","10.1109/MSPEC.2012.6247557","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864567041&doi=10.1109%2fMSPEC.2012.6247557&partnerID=40&md5=74a33df66608f3b68a16683ff50b8ef9","Note","Final","","Scopus","2-s2.0-84864567041"
"Bornmann L.","Bornmann, Lutz (8850037200)","8850037200","Do altmetrics point to the broader impact of research? An overview of benefits and disadvantages of altmetrics","2014","Journal of Informetrics","8","4","","895","903","8","414","10.1016/j.joi.2014.09.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908672359&doi=10.1016%2fj.joi.2014.09.005&partnerID=40&md5=71497ec0413885676eb9b6e858d97152","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84908672359"
